     0/299     1.82G     0.102    0.1735   0.03585    0.3114       156       416  0.005564    0.1051  0.002325 0.0003896   0.09109    0.1559   0.03407
     1/299     1.84G    0.0976    0.1725   0.03394     0.304       190       416   0.04988    0.1671    0.0197  0.003579   0.09213    0.1359    0.0341
     2/299     1.84G   0.09113    0.1664    0.0331    0.2906       251       416    0.1077    0.2045   0.07235   0.01606   0.08025    0.1395   0.03162
     3/299     1.84G    0.0848    0.1706   0.03201    0.2874       220       416   0.09938    0.1876   0.05637   0.01259   0.07834    0.1472   0.03134
     4/299     1.84G   0.08072    0.1722   0.03076    0.2837       252       416    0.1877    0.2305    0.1263   0.02941   0.07376    0.1375   0.02789
     5/299     1.84G   0.07845      0.17   0.02938    0.2778       210       416    0.1203    0.2893   0.09594   0.02174    0.0805    0.1376   0.03063
     6/299     1.84G   0.07546    0.1695   0.02798    0.2729       236       416    0.2505    0.3513    0.2099   0.05381   0.07008    0.1366   0.02468
     7/299     1.84G   0.07309    0.1729   0.02593    0.2719       225       416    0.2951    0.4007    0.2582   0.07749   0.06525     0.139   0.02333
     8/299     1.84G   0.07181     0.171   0.02439    0.2672       221       416    0.3594    0.4065     0.289   0.08139   0.06491    0.1351   0.02134
     9/299     1.84G   0.07068    0.1707   0.02307    0.2645       234       416    0.3577    0.3866    0.2753   0.08406   0.06453    0.1341   0.02043
    10/299     1.84G    0.0697    0.1692   0.02328    0.2622       131       416    0.3623    0.4491    0.3065    0.0911    0.0643    0.1328   0.02111
    11/299     1.84G   0.06939    0.1714   0.02221     0.263       198       416    0.4177    0.4509    0.3511     0.119   0.06131    0.1325      0.02
    12/299     1.84G   0.06822    0.1691   0.02206    0.2594       178       416    0.4095     0.433    0.3322     0.105   0.06251    0.1331   0.01986
    13/299     1.84G   0.06787    0.1701   0.02144    0.2594       221       416    0.4327    0.4349    0.3455    0.1125   0.06159    0.1319   0.01938
    14/299     1.84G   0.06735    0.1678   0.02116    0.2563       188       416    0.4352    0.4511    0.3534    0.1152    0.0609    0.1317   0.01934
    15/299     1.84G   0.06711    0.1688   0.02111    0.2571       157       416    0.4313     0.417    0.3242    0.1037   0.06226    0.1316   0.01945
    16/299     1.84G   0.06688    0.1671    0.0211    0.2551       101       416    0.4037    0.4239    0.3235    0.1097   0.06066    0.1314   0.01963
    17/299     1.84G    0.0664     0.168   0.02058     0.255       171       416    0.4431    0.4572    0.3606     0.116   0.06123    0.1327   0.01857
    18/299     1.84G   0.06585    0.1679   0.02027     0.254       159       416     0.439    0.4759     0.385    0.1285   0.06045    0.1306   0.01832
    19/299     1.84G   0.06575    0.1659   0.02032     0.252       175       416    0.4596    0.4777    0.3922    0.1297   0.05986    0.1317   0.01825
    20/299     1.84G   0.06519    0.1651   0.02011    0.2504       226       416     0.471    0.4481    0.3707    0.1229   0.06063    0.1309   0.01857
    21/299     1.84G   0.06493    0.1661   0.02008    0.2512       165       416    0.4879    0.4703    0.3983      0.14    0.0589    0.1301   0.01823
    22/299     1.84G   0.06555    0.1692   0.01995    0.2547       250       416     0.458     0.499    0.3971    0.1351   0.05995    0.1312   0.01785
    23/299     1.84G   0.06468    0.1665   0.01979    0.2509       131       416    0.4808    0.4584    0.3941    0.1343   0.05994    0.1307   0.01856
    24/299     1.84G   0.06437    0.1665   0.01954    0.2504       181       416    0.4697    0.5053    0.4129    0.1426   0.05963    0.1311   0.01786
