               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11878,             0.15666,            0.067553,           0.0039938,            0.034088,            0.002237,          0.00051928,             0.10476,             0.13546,            0.063077,             0.00037,             0.00037,             0.09667
                   1,             0.10648,             0.16371,            0.058993,            0.019124,            0.086174,            0.013113,           0.0029345,            0.095769,             0.12684,            0.056821,          0.00074997,          0.00074997,             0.09325
                   2,            0.091137,             0.17227,            0.050882,             0.76832,            0.061267,            0.035333,           0.0086136,             0.07954,             0.13981,            0.050424,           0.0011298,           0.0011298,             0.08983
                   3,            0.076708,             0.17853,            0.045788,             0.58218,             0.13417,            0.057776,            0.016469,            0.068484,             0.13275,            0.047096,           0.0015095,           0.0015095,             0.08641
                   4,            0.070572,             0.18556,            0.042651,             0.70605,             0.12718,            0.084417,            0.029522,            0.062388,             0.13131,            0.044723,           0.0018889,           0.0018889,            0.082989
                   5,            0.067593,             0.18292,            0.040158,             0.81123,             0.12946,            0.099682,            0.037724,            0.060021,               0.132,            0.042728,            0.002268,            0.002268,            0.079568
                   6,             0.06652,             0.18796,             0.03786,             0.81622,             0.11799,            0.090271,            0.031466,            0.061075,             0.13221,            0.040728,           0.0026466,           0.0026466,            0.076147
                   7,            0.066918,             0.18558,            0.035423,             0.83402,             0.13471,             0.11201,            0.041868,            0.058862,              0.1324,            0.039182,           0.0030247,           0.0030247,            0.072725
                   8,            0.065359,             0.18084,            0.033194,             0.83685,             0.13194,             0.11577,            0.043682,            0.058489,             0.13309,            0.037644,           0.0034023,           0.0034023,            0.069302
                   9,            0.065527,             0.18098,            0.031902,             0.84238,             0.13286,             0.12066,            0.043806,            0.057782,             0.13532,            0.037447,           0.0037791,           0.0037791,            0.065879
                  10,            0.064394,             0.18488,            0.031448,             0.86057,             0.13936,             0.13484,             0.05191,             0.05687,             0.13283,            0.036586,           0.0041552,           0.0041552,            0.062455
                  11,            0.063019,             0.18465,             0.03159,             0.85128,             0.13834,             0.13194,            0.052693,            0.056034,             0.13326,            0.036286,           0.0045305,           0.0045305,             0.05903
                  12,            0.062714,             0.18498,            0.030889,             0.85956,             0.12905,             0.12637,            0.050449,            0.056824,              0.1352,            0.036625,           0.0049048,           0.0049048,            0.055605
                  13,            0.068497,              0.1814,            0.031034,             0.81145,              0.1212,            0.089282,            0.028336,            0.060262,             0.13535,            0.036369,           0.0052782,           0.0052782,            0.052178
                  14,            0.067397,             0.18347,            0.030524,             0.84621,             0.13806,             0.12327,            0.043562,            0.057827,             0.13462,            0.036935,           0.0056505,           0.0056505,             0.04875
                  15,             0.06482,             0.17779,            0.030334,             0.86254,             0.13807,             0.13529,            0.050001,            0.056766,              0.1369,            0.036462,           0.0060216,           0.0060216,            0.045322
                  16,            0.063584,             0.17564,            0.030031,             0.86607,             0.12902,             0.13164,            0.050613,            0.057154,             0.13448,            0.036771,           0.0063915,           0.0063915,            0.041892
                  17,            0.062694,             0.18213,            0.030125,             0.87057,              0.1404,             0.13902,            0.055292,            0.055818,             0.13416,            0.036255,           0.0067601,           0.0067601,             0.03846
                  18,            0.061853,             0.17998,            0.029632,             0.85342,             0.15121,             0.13792,            0.052694,            0.056233,             0.13499,            0.036296,           0.0071274,           0.0071274,            0.035027
                  19,            0.061065,             0.17588,            0.029601,             0.86385,             0.14282,             0.13701,            0.057058,            0.055284,             0.13655,            0.036496,           0.0074931,           0.0074931,            0.031593
                  20,            0.060838,             0.17958,              0.0288,             0.85986,             0.12359,             0.12663,            0.050866,            0.056687,             0.13635,             0.03648,           0.0078573,           0.0078573,            0.028157
                  21,            0.060164,             0.17909,            0.028692,             0.85845,             0.14122,             0.13839,            0.055167,             0.05565,             0.13643,            0.036901,           0.0082199,           0.0082199,             0.02472
                  22,            0.060176,             0.17472,            0.029396,             0.84754,             0.14695,             0.13222,            0.050715,            0.056923,             0.13875,            0.036279,           0.0085808,           0.0085808,            0.021281
                  23,            0.059064,             0.17602,            0.029264,             0.86585,              0.1317,             0.13208,            0.053818,            0.055893,             0.13546,            0.035749,             0.00894,             0.00894,             0.01784
                  24,            0.058089,             0.17837,            0.028967,             0.85877,             0.14081,             0.13922,            0.056379,            0.055967,             0.13595,            0.035938,           0.0092972,           0.0092972,            0.014397
                  25,            0.058909,             0.17513,             0.02818,             0.86539,             0.12926,             0.13099,            0.053493,            0.056687,             0.13944,            0.036996,           0.0096526,           0.0096526,            0.010953
                  26,             0.05771,             0.17874,            0.028297,              0.8588,             0.14312,             0.13965,             0.05695,            0.055541,             0.13768,              0.0369,           0.0097619,           0.0097619,           0.0097619
